_id,first_name,last_name,email,title,birth_date
1,Mark,Fleming,Mark_Fleming1429@nmz0p.mobi,"The University of Tennessee, Knoxville","Thursday, January 23, 9603"
2,Domenic,Edley,Domenic_Edley4007@yafr7.host,"University of California, Santa Barbara (UCSB)","Sunday, December 7, 6780"
3,Tyson,Wright,Tyson_Wright6915@v1wn5.solutions,Harvard University,"Monday, November 1, 5869"
4,Nate,Kaur,Nate_Kaur1444@dbxli.us,Tufts University,"Friday, November 22, 8047"
5,Mona,Smith,Mona_Smith545@nanoff.audio,University of Pittsburgh,"Thursday, May 11, 2902"
6,Goldie,Martin,Goldie_Martin357@lyvnc.online,Emory University,"Wednesday, March 11, 6820"
7,Lucas,Bolton,Lucas_Bolton9690@ohqqh.biz,George Washington University,"Tuesday, August 1, 4333"
8,Maxwell,Barclay,Maxwell_Barclay3961@avn7d.host,University of Utah,"Friday, January 6, 3696"
9,Fred,Clark,Fred_Clark9459@p5emz.store,The University of Arizona,"Saturday, July 31, 1475"
10,Bart,Hilton,Bart_Hilton7525@chkzl.page,Drexel University,"Monday, May 31, 0309"
11,Chris,Owen,Chris_Owen3587@kyb7t.info,University of Virginia,"Monday, December 22, 0600"
12,Nancy,Stanton,Nancy_Stanton1704@cdpfn.solutions,"University of California, Davis","Monday, June 5, 5769"
13,Matthew,Collins,Matthew_Collins5068@xqj6f.center,Georgia Institute of Technology,"Saturday, December 21, 3326"
14,Ilona,Ellis,Ilona_Ellis9426@ptr6k.space,Emory University,"Sunday, January 28, 4334"
15,Anabelle,Morris,Anabelle_Morris1626@3wbkp.solutions,University of Illinois at Urbana-Champaign,"Saturday, July 31, 0804"
16,Georgia,Hudson,Georgia_Hudson7222@gkvds.com,"University of California, Los Angeles (UCLA)","Wednesday, May 9, 0181"
17,Gina,Stubbs,Gina_Stubbs8614@avn7d.design,Georgia Institute of Technology,"Wednesday, October 16, 9247"
18,Maddison,Roberts,Maddison_Roberts5743@yahoo.site,Duke University,"Sunday, June 2, 7450"
19,Kieth,Fleming,Kieth_Fleming6892@ds59r.name,Clark University,"Saturday, January 17, 1311"
20,Phillip,Ballard,Phillip_Ballard2218@nmz0p.store,Michigan State University,"Thursday, January 25, 0390"
21,Chris,Morris,Chris_Morris7281@mpibr.media,George Washington University,"Thursday, November 25, 4258"
22,Anne,Jarrett,Anne_Jarrett2367@nmz0p.center,North Carolina State University,"Thursday, December 17, 0454"
23,Elijah,Vince,Elijah_Vince7044@uagvw.autos,Tulane University,"Friday, September 11, 2342"
24,Noah,Briggs,Noah_Briggs5277@1kmd3.tech,The Katz School at Yeshiva University,"Tuesday, March 7, 8795"
25,Carolyn,Hepburn,Carolyn_Hepburn2722@yahoo.meet,University of Southern California,"Friday, November 4, 0135"
26,Logan,Wilkinson,Logan_Wilkinson3853@ckzyi.ca,University of Connecticut,"Friday, July 6, 0959"
27,Rosa,Watson,Rosa_Watson966@bcfhs.media,Tulane University,"Friday, November 4, 6698"
28,Peter,Villiger,Peter_Villiger5510@1wa8o.works,University at Buffalo SUNY,"Saturday, February 24, 1500"
